순번,개설학과전공,학수번호,교과목명,분반,이수구분,영역,학점/이론/실습,수강정원,시간표,강의실,담당교수,캠퍼스,수업유형,"평가등급
유형",수강안내사항,대상자지정내용
1,학생군사교육단,SS057300,안보학,001,일반교양,,3.0/3.0/3.0,30,"수-1,2,3,금-7,8,9     ",,윤해진,수정,일반,GRADE,,
2,학생군사교육단,SS057500,조직리더십,001,일반교양,,3.0/3.0/3.0,30,"수-1,2,3,금-7,8,9     ",,이성희,수정,일반,GRADE,,
3,학사지원팀,KU001500,소비자를 위한 생활법률,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
4,학사지원팀,KU001600,현대인의 질병과 영양,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
5,학사지원팀,KU003700,실용한의학,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
6,학사지원팀,KU004300,스페인 문화와 예술,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
7,학사지원팀,KU004400,영상으로 떠나는 베트남 문화기행,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
8,학사지원팀,KU004600,이슬람문화와 예술,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
9,학사지원팀,KU004900,지구에서 만나 살아가는 남자와 여자,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
10,학사지원팀,KU009600,술문화의 이해,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
11,학사지원팀,KU009900,라틴아메리카문화산책,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
12,학사지원팀,KU010800,소셜미디어와 스마트한 세상,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
13,학사지원팀,KU011400,소셜 미디어 시대의 인터넷 활용,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
14,학사지원팀,KU012800,문화 속 디자인여행,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
15,학사지원팀,KU013000,"UCC 제작, 편집 및 활용",001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
16,학사지원팀,OU000400,TED로배우는영화속바이오테크놀로지,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
17,학사지원팀,OU000500,마음을읽어주는미술치료,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
18,학사지원팀,OU000800,사례로보는WTO와무역마찰의이해,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
19,학사지원팀,OU000900,범죄와범죄심리,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
20,학사지원팀,OU001500,영화로배우는서양여성사,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
21,학사지원팀,OU001700,취업준비의정석과차별화,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
22,학사지원팀,OU001900,독일철학의이해,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,P/NP,,
23,학사지원팀,OU002300,mos자격증취득을위한엑셀과액세스,001,일반교양,,3.0/3.0/0.0,100,,,미정,수정,일반,GRADE,,
24,학사지원팀,TE061200,교육실습,001,교직,,2.0/0.0/0.0,0,,,미정,수정,일반,GRADE,,
25,국제학생지원팀,KS002000,언어의 표현과 이해 Ⅰ,001,일반교양,,3.0/3.0/0.0,40,"화-7,8,9     ",난805,강선화,수정,일반,GRADE,,
26,국제학생지원팀,KS002100,언어의 표현과 이해 Ⅱ,001,일반교양,,3.0/3.0/0.0,40,"월-7,8,9     ",난805,김효은,수정,일반,GRADE,,
27,국제학생지원팀,KS002600,언어의 표현과 이해 Ⅲ,001,일반교양,,3.0/3.0/0.0,40,"목-7,8,9     ",난807,김원경,수정,일반,GRADE,,
28,국제학생지원팀,KS002700,외국인을 위한 글쓰기,001,일반교양,,3.0/3.0/0.0,40,"월-7,8,9     ",난807,강선화,수정,일반,GRADE,,
29,국제학생지원팀,KS002700,외국인을 위한 글쓰기,002,일반교양,,3.0/3.0/0.0,40,"수-7,8,9     ",난806,강선화,수정,일반,GRADE,,
30,국제학생지원팀,KS002800,한・중 문화와 컨텐츠,001,일반교양,,3.0/3.0/0.0,20,"목-7,8,9     ",성712,강선화,수정,일반,GRADE,,
31,국제학생지원팀,SS084300,한국 문화의 이해,001,일반교양,,3.0/3.0/0.0,40,"수-7,8,9     ",난807,박영산,수정,일반,GRADE,,
32,국제학생지원팀,SS084300,한국 문화의 이해,002,일반교양,,3.0/3.0/0.0,40,"목-7,8,9     ",난805,박영산,수정,일반,GRADE,,
33,국제학생지원팀,SS084400,한국 사회의 이해,001,일반교양,,3.0/3.0/0.0,40,"금-7,8,9     ",수204-1,신영란,수정,일반,GRADE,,
34,국제학생지원팀,SS084400,한국 사회의 이해,002,일반교양,,3.0/3.0/0.0,40,"화-7,8,9     ",난804,신영란,수정,일반,GRADE,,
35,인재개발팀,SS010000,전공별 진로탐색,001,일반교양,,1.0/1.0/0.0,1,화-1     ,,이정은,수정,플립드러닝,P/NP,,
36,인재개발팀,SS010000,전공별 진로탐색,002,일반교양,,1.0/1.0/0.0,1,월-N     ,,이정은,수정,플립드러닝,P/NP,,
37,인재개발팀,SS010000,전공별 진로탐색,003,일반교양,,1.0/1.0/0.0,1,금-7     ,,이정은,수정,플립드러닝,P/NP,,
38,인재개발팀,SS010000,전공별 진로탐색,004,일반교양,,1.0/1.0/0.0,1,화-7     ,,이정은,수정,플립드러닝,P/NP,,
39,인재개발팀,SS010000,전공별 진로탐색,005,일반교양,,1.0/1.0/0.0,1,목-4     ,,이정은,수정,플립드러닝,P/NP,,
40,인재개발팀,SS010000,전공별 진로탐색,006,일반교양,,1.0/1.0/0.0,1,화-7     ,,이정은,수정,플립드러닝,P/NP,,
41,인재개발팀,SS010000,전공별 진로탐색,007,일반교양,,1.0/1.0/0.0,1,목-4     ,,이정은,수정,플립드러닝,P/NP,,
42,인재개발팀,SS010000,전공별 진로탐색,008,일반교양,,1.0/1.0/0.0,1,월-4     ,,이정은,수정,플립드러닝,P/NP,,
43,인재개발팀,SS010000,전공별 진로탐색,009,일반교양,,1.0/1.0/0.0,1,월-N     ,,이정은,수정,플립드러닝,P/NP,,
44,인재개발팀,SS010000,전공별 진로탐색,010,일반교양,,1.0/1.0/0.0,1,목-1     ,,이정은,수정,플립드러닝,P/NP,,
45,인재개발팀,SS010000,전공별 진로탐색,011,일반교양,,1.0/1.0/0.0,1,화-1     ,,이정은,수정,플립드러닝,P/NP,,
46,인재개발팀,SS010000,전공별 진로탐색,012,일반교양,,1.0/1.0/0.0,1,수-N     ,,이정은,수정,플립드러닝,P/NP,,
